;Curso;Empresa;Data Início;Data Término;Ano Início;Ano Término;Período;Latitude;Longitude;Cidade;Localização;;
404;Engenharia Química;ITAÚ UNIBANCO S/A;12/02/2019 00:00;12/01/2020 00:00;2019;2020;1;-2.323.007.733;-4.591.998.217;São Paulo;3;;
405;Engenharia de Produção;ITAÚ UNIBANCO S/A;02/01/2018 00:00;24/06/2019 00:00;2018;2019;1;-2.323.007.733;-4.591.998.217;São Paulo;3;;
406;Engenharia de Produção;ITAÚ UNIBANCO S/A;08/01/2017 00:00;27/12/2017 00:00;2017;2017;0;-2.323.007.733;-4.591.998.217;São Paulo;3;;
407;Engenharia de Produção;ITAÚ UNIBANCO S/A;11/04/2019 00:00;05/03/2020 00:00;2019;2020;1;-2.323.007.733;-4.591.998.217;São Paulo;3;;
437;Engenharia Química;BASF S/A;01/06/2020 00:00;31/12/2020 00:00;2020;2020;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
438;Engenharia Química;BASF S/A;01/06/2020 00:00;01/06/2021 00:00;2020;2021;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
439;Engenharia Química;BASF S/A;15/03/2021 00:00;31/12/2021 00:00;2021;2021;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
440;Engenharia Química;BASF S/A;13/09/2021 00:00;13/09/2022 00:00;2021;2022;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
441;Engenharia Química;BASF S/A;01/01/2022 00:00;22/12/2022 00:00;2022;2022;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
442;Engenharia Química;BASF S/A;14/09/2022 00:00;30/06/2023 00:00;2022;2023;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
443;Engenharia Química;BASF S/A;12/02/2020 00:00;19/07/2021 00:00;2020;2021;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
444;Engenharia Química;BASF S/A;08/08/2022 00:00;08/07/2023 00:00;2022;2023;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
445;Engenharia Bioquimica;BASF S/A;09/05/2016 00:00;08/09/2017 00:00;2016;2017;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
446;Engenharia Bioquimica;BASF S/A;13/06/2022 00:00;06/12/2023 00:00;2022;2023;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
447;Engenharia Ambiental;BASF S/A;25/07/2022 00:00;24/07/2023 00:00;2022;2023;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
453;Engenharia Química;BASF S/A;01/01/2016 00:00;30/06/2016 00:00;2016;2016;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
456;Engenharia Química;BASF S/A;07/01/2016 00:00;18/01/2017 00:00;2016;2017;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
457;Engenharia Química;BASF S/A;07/04/2016 00:00;19/06/2017 00:00;2016;2017;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
459;Engenharia Química;BASF S/A;07/03/2017 00:00;30/11/2017 00:00;2017;2017;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
460;Engenharia Química;BASF S/A;07/04/2016 00:00;07/02/2018 00:00;2016;2018;2;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
461;Engenharia Química;BASF S/A;07/04/2016 00:00;16/05/2018 00:00;2016;2018;2;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
463;Engenharia Química;BASF S/A;01/01/2016 00:00;06/10/2016 00:00;2016;2016;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
465;Engenharia Química;BASF S/A;01/01/2016 00:00;30/06/2016 00:00;2016;2016;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
466;Engenharia Química;BASF S/A;07/01/2016 00:00;12/07/2016 00:00;2016;2016;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
468;Engenharia Química;BASF S/A;08/01/2016 00:00;27/11/2017 00:00;2016;2017;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
469;Engenharia Química;BASF S/A;01/09/2017 00:00;28/12/2018 00:00;2017;2018;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
473;Engenharia Química;BASF S/A;18/01/2021 00:00;17/01/2021 00:00;2021;2021;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
474;Engenharia Química;BASF S/A;18/01/2022 00:00;17/01/2023 00:00;2022;2023;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
475;Engenharia Química;BASF S/A;08/03/2020 00:00;08/02/2021 00:00;2020;2021;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
476;Engenharia Química;BASF S/A;18/01/2016 00:00;17/01/2017 00:00;2016;2017;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
477;Engenharia Química;BASF S/A;18/03/2019 00:00;23/01/2020 00:00;2019;2020;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
478;Engenharia Química;BASF S/A;02/08/2021 00:00;02/07/2022 00:00;2021;2022;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
479;Engenharia Química;BASF S/A;02/08/2022 00:00;02/07/2023 00:00;2022;2023;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
480;Engenharia Química;BASF S/A;07/04/2022 00:00;07/03/2023 00:00;2022;2023;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
481;Engenharia Química;BASF S/A;15/08/2022 00:00;14/08/2023 00:00;2022;2023;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
482;Engenharia Química;BASF S/A;10/03/2022 00:00;10/02/2023 00:00;2022;2023;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
485;Engenharia Química;BASF S/A;18/01/2016 00:00;30/11/2016 00:00;2016;2016;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
486;Engenharia Química;BASF S/A;01/01/2016 00:00;22/12/2016 00:00;2016;2016;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
487;Engenharia Química;BASF S/A;01/01/2016 00:00;30/12/2016 00:00;2016;2016;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
488;Engenharia Química;BASF S/A;08/01/2016 00:00;21/06/2017 00:00;2016;2017;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
489;Engenharia Química;BASF S/A;18/01/2017 00:00;16/11/2017 00:00;2017;2017;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
490;Engenharia Química;BASF S/A;01/09/2017 00:00;14/11/2017 00:00;2017;2017;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
491;Engenharia Química;BASF S/A;01/09/2017 00:00;14/11/2017 00:00;2017;2017;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
492;Engenharia Química;BASF S/A;18/01/2017 00:00;15/09/2017 00:00;2017;2017;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
493;Engenharia Química;BASF S/A;20/03/2017 00:00;16/01/2018 00:00;2017;2018;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
494;Engenharia Química;BASF S/A;07/10/2017 00:00;15/06/2018 00:00;2017;2018;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
495;Engenharia Química;BASF S/A;31/07/2017 00:00;19/07/2018 00:00;2017;2018;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
496;Engenharia Química;BASF S/A;30/12/2017 00:00;19/12/2018 00:00;2017;2018;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
497;Engenharia Química;BASF S/A;30/12/2017 00:00;12/07/2018 00:00;2017;2018;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
498;Engenharia Química;BASF S/A;01/08/2018 00:00;12/07/2018 00:00;2018;2018;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
499;Engenharia Química;BASF S/A;01/02/2018 00:00;19/12/2018 00:00;2018;2018;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
500;Engenharia Química;BASF S/A;02/05/2018 00:00;21/01/2019 00:00;2018;2019;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
501;Engenharia Química;BASF S/A;02/06/2018 00:00;18/12/2018 00:00;2018;2018;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
502;Engenharia Química;BASF S/A;16/04/2018 00:00;20/02/2020 00:00;2018;2020;2;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
503;Engenharia Química;BASF S/A;16/07/2018 00:00;15/07/2019 00:00;2018;2019;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
504;Engenharia Química;BASF S/A;07/09/2018 00:00;07/09/2019 00:00;2018;2019;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
505;Engenharia Química;BASF S/A;31/07/2018 00:00;19/12/2018 00:00;2018;2018;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
506;Engenharia Química;BASF S/A;16/07/2018 00:00;17/07/2019 00:00;2018;2019;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
507;Engenharia Química;BASF S/A;16/07/2018 00:00;15/07/2019 00:00;2018;2019;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
508;Engenharia Química;BASF S/A;31/07/2018 00:00;27/12/2018 00:00;2018;2018;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
509;Engenharia Química;BASF S/A;08/06/2018 00:00;08/05/2019 00:00;2018;2019;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
510;Engenharia Química;BASF S/A;01/07/2019 00:00;13/12/2019 00:00;2019;2019;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
511;Engenharia Química;BASF S/A;01/08/2019 00:00;16/12/2019 00:00;2019;2019;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
512;Engenharia Química;BASF S/A;01/07/2019 00:00;12/10/2019 00:00;2019;2019;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
513;Engenharia Química;BASF S/A;29/12/2018 00:00;28/12/2019 00:00;2018;2019;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
514;Engenharia Química;BASF S/A;16/04/2019 00:00;17/12/2019 00:00;2019;2019;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
515;Engenharia Química;BASF S/A;16/07/2019 00:00;14/07/2020 00:00;2019;2020;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
516;Engenharia Química;BASF S/A;16/07/2019 00:00;14/07/2020 00:00;2019;2020;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
517;Engenharia Química;BASF S/A;16/07/2019 00:00;13/09/2019 00:00;2019;2019;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
518;Engenharia Química;BASF S/A;08/06/2019 00:00;19/06/2020 00:00;2019;2020;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
519;Engenharia Química;BASF S/A;20/01/2020 00:00;12/03/2021 00:00;2020;2021;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
520;Engenharia Química;BASF S/A;03/11/2020 00:00;12/09/2020 00:00;2020;2020;0;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
521;Engenharia Química;BASF S/A;22/03/2021 00:00;21/03/2022 00:00;2021;2022;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
522;Engenharia Química;BASF S/A;26/04/2021 00:00;20/04/2022 00:00;2021;2022;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
523;Engenharia Química;BASF S/A;05/10/2021 00:00;05/09/2022 00:00;2021;2022;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
524;Engenharia Química;BASF S/A;10/04/2021 00:00;10/03/2022 00:00;2021;2022;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
525;Engenharia Química;BASF S/A;10/04/2021 00:00;10/03/2022 00:00;2021;2022;1;-2.323.251.286;-4.598.011.305;Guaratinguetá;1;;
